Book,Aeneid,Number of Latin lines,Eneados,Number of Scots lines,Line ratio
I,I.1-3,3,1.1-4,4,1.333333333
I,I.4,1,1.5-6,2,2
I,I.5-6,2,1.7-10,4,2
I,I.7,1,1.11-12,2,2
I,I.8,1,1.13-14,2,2
I,I.9-11,3,1.15-18,4,1.333333333
I,I.12-14,3,1.19-24,6,2
I,I.15,1,1.25-26,2,2
I,I.16-18,3,1.27-32,6,2
I,I.19-22,4,1.33-37,5,1.25
I,I.23,1,1.38-39,2,2
I,I.24,1,1.40-41,2,2
I,I.25-26,2,1.42-44,3,1.5
I,I.27,1,1.45-46,2,2
I,I.28,1,1.47-51,5,5
I,I.29-30,2,1.52-55,4,2
I,I.31-32,2,1.56-59,4,2
I,I.33,1,1.60-61,2,2
I,I.34-35,2,1.62-65,4,2
I,I.36,1,1.66-67,2,2
I,I.37-38,2,1.68-71,4,2
I,I.39-41,3,1.72-75,4,1.333333333
I,I.42-43,2,1.76-78,3,1.5
I,I.44,1,1.79,1,1
I,I.45,1,1.8,1,1
I,I.46-49,4,1.81-86,6,1.5
I,I.50-54,5,2.1-8,8,1.6
I,I.55-56,2,2.9-12,4,2
I,I.57-59,3,2.13-16,4,1.333333333
I,I.60-63,4,2.17-23,7,1.75
I,I.64,1,2.24,1,1
I,I.65-68,4,2.25-30,6,1.5
I,I.69-70,2,2.31-33,3,1.5
I,I.71,1,2.34,1,1
I,I.72,1,2.35,1,1
I,I.73-75,3,2.36-40,5,1.666666667
I,I.76-79,4,2.41-47,7,1.75
I,I.80,1,2.48,1,1
I,I.81-83,3,2.49-52,4,1.333333333
I,I.84-86,3,2.53-58,6,2
I,I.87,1,2.59-60,2,2
I,I.88-89,2,2.61-63,3,1.5
I,I.90,1,2.64-65,2,2
I,I.91,1,2.66-68,3,3
I,I.92,1,3.1,1,1
I,I.93-94,2,3.2-4,3,1.5
I,I.95-98,4,3.5-9,5,1.25
I,I.99-101,3,3.10-13,4,1.333333333
I,I.102,1,3.14-15,2,2
I,I.103,1,3.16-17,2,2
I,I.104-05,2,3.18-22,5,2.5
I,I.106-07,2,3.23-26,4,2
I,I.108-12,5,3.27-33,7,1.4
I,I.113-18,6,3.34-43,10,1.666666667
I,I.119-23,5,3.44-51,8,1.6
I,I.124-27,4,3.52-57,6,1.5
I,I.128,1,3.58-59,2,2
I,I.129,1,3.60-61,2,2
I,I.130,1,3.62,1,1
I,I.131,1,3.63-64,2,2
I,I.132,1,3.65,1,1
I,I.133-34,2,3.66-68,3,1.5
I,I.135,1,3.69-70,2,2
I,I.136,1,3.71-72,2,2
I,I.137,1,3.73,1,1
I,I.138,1,3.74-75,2,2
I,I.139-41,3,3.76-80,5,1.666666667
I,I.142-43,2,3.81-84,4,2
I,I.144-45,2,3.85-89,5,2.5
I,I.146,1,3.9,1,1
I,I.147,1,3.91,1,1
I,I.148-49,2,3.92-93,2,1
I,I.150,1,3.94-95,2,2
I,I.151-52,2,3.96-98,3,1.5
I,I.153,1,3.99,1,1
I,I.154,0.5,3.1,1,2
I,I.154-56,2.5,4.1-4,4,1.6
I,I.157-58,2,4.5-7,3,1.5
I,I.159-61,3,4.8-11,4,1.333333333
I,I.162-65,4,4.12-18,7,1.75
I,I.166-69,4,4.19-26,8,2
I,I.170-72,3,4.27-30,4,1.333333333
I,I.173,1,4.31-32,2,2
I,I.174-76,3,4.33-36,4,1.333333333
I,I.177-79,3,4.37-40,4,1.333333333
I,I.180-83,4,4.41-47,7,1.75
I,I.184-86,3,4.48-52,5,1.666666667
I,I.187-91,5,4.53-58,6,1.2
I,I.192-93,2,4.59-61,3,1.5
I,I.194,1,4.62-63,2,2
I,I.195-97,3,4.64-68,5,1.666666667
I,I.198-99,2,4.69-72,4,2
I,I.200-03,4,4.73-79,7,1.75
I,I.204,1,4.8,1,1
I,I.205-06,2,4.81-83,3,1.5
I,I.207,1,4.84,1,1
I,I.208,1,4.85-86,2,2
I,I.209,1,4.87-88,2,2
I,I.210-15,6,4.89-98,10,1.666666667
I,I.216-19,4,4.99-104,6,1.5
I,I.220-22,3,4.105-10,6,2
I,I.223-26,4,5.1-6,6,1.5
I,I.227-30,4,5.7-12,6,1.5
I,I.231,1,5.13,1,1
I,I.232-37,6,5.14-21,8,1.333333333
I,I.238-39,2,5.22-24,3,1.5
I,I.240-41,2,5.25-27,3,1.5
I,I.242-44,3,5.28-31,4,1.333333333
I,I.245-46,2,5.32-34,3,1.5
I,I.247-49,3,5.35-38,4,1.333333333
I,I.250,1,5.39-40,2,2
I,I.251-52,2,5.41-43,3,1.5
I,I.253,1,5.44-46,3,3
I,I.254,1,5.47,1,1
I,I.255,1,5.48-49,2,2
I,I.256,1,5.5,1,1
I,I.257-60,4,5.51-57,7,1.75
I,I.261-62,2,5.58-60,3,1.5
I,I.263-64,2,5.61-64,4,2
I,I.265-66,2,5.65-67,3,1.5
I,I.267-68,2,5.68-71,4,2
I,I.269-71,3,5.72-74,3,1
I,I.272,1,5.75,1,1
I,I.273-74,2,5.76-78,3,1.5
I,I.275,1,5.79-80,2,2
I,I.276-77,2,5.81-83,3,1.5
I,I.278-80,3,5.84-89,6,2
I,I.281-82,2,5.90-92,3,1.5
I,I.283-85,3,5.93-98,6,2
I,I.286-87,2,5.99-101,3,1.5
I,I.288,1,5.102-04,3,3
I,I.289-90,2,5.105-08,4,2
I,I.291,1,5.109-10,2,2
I,I.292-94,3,5.111-16,6,2
I,I.295-96,2,5.117-20,4,2
I,I.297,1,5.121-22,2,2
I,I.298-301,4,5.123-28,6,1.5
I,I.302-04,3,5.129-34,6,2
I,I.305,1,6.1-2,2,2
I,I.306-09,4,6.3-9,7,1.75
I,I.310-13,4,6.10-16,7,1.75
I,I.314-17,4,6.17-22,6,1.5
I,I.318-20,3,6.23-27,5,1.666666667
I,I.321-23,3,6.28-32,5,1.666666667
I,I.324,1,6.33-34,2,2
I,I.325-26,2,6.35-37,3,1.5
I,I.327-28,2,6.38-41,4,2
I,I.329-30,2,6.42-45,4,2
I,I.331-33,3,6.46-50,5,1.666666667
I,I.334,1,6.51-52,2,2
I,I.335-36,2,6.53-56,4,2
I,I.337,1,6.57,1,1
I,I.338,1,6.58-60,3,3
I,I.339,1,6.61-62,2,2
I,I.340-42,3,6.63-66,4,1.333333333
I,I.343-47,5,6.67-74,8,1.6
I,I.348-52,5,6.75-82,8,1.6
I,I.353-54,2,6.83-85,3,1.5
I,I.355-56,2,6.86-88,3,1.5
I,I.357,1,6.89-90,2,2
I,I.358-59,2,6.91-93,3,1.5
I,I.360-61,2,6.94-97,4,2
I,I.362-64,3,6.98-103,6,2
I,I.365-66,2,6.104-06,3,1.5
I,I.367-68,2,6.107-11,5,2.5
I,I.369-71,3,6.112-15,4,1.333333333
I,I.372-73,2,6.116-18,3,1.5
I,I.374,1,6.119-20,2,2
I,I.375-76,2,6.121-23,3,1.5
I,I.377-79,3,6.124-28,5,1.666666667
I,I.380,1,6.129-30,2,2
I,I.381-82,2,6.131-33,3,1.5
I,I.383,1,6.134-35,2,2
I,I.384-86,3,6.136-39,4,1.333333333
I,I.387-88,2,6.140-43,4,2
I,I.389-91,3,6.144-47,4,1.333333333
I,I.392,1,6.148,1,1
I,I.393,1,6.149,1,1
I,I.394-96,3,6.150-54,5,1.666666667
I,I.397,1,6.155,1,1
I,I.398,1,6.156-57,2,2
I,I.399-400,2,6.158-60,3,1.5
I,I.401,1,6.161,1,1
I,I.402,1,6.162-63,2,2
I,I.403-04,2,6.164-66,3,1.5
I,I.405-06,2,6.167-69,3,1.5
I,I.407-09,3,6.170-73,4,1.333333333
I,I.410,1,6.174-75,2,2
I,I.411-12,2,6.176-77,2,1
